expression,reading,meaning,tags
〜(日本) 式,にほん しき,"custom,",n2
～位,い,th place,n2
～園,えん, garden especially man made,n2
～日,か,counter for days,n2
～下,か,under ,n2
～化,か,action of making something,n2
～科,か,"family, group, course",n2
～歌,か,song of ,n2
～画,が,"picture, painting",n2
～外,がい,out of ,n2
～難い,がたい,hard difficult  do ,n2
～刊,かん," issued magazine, newspaper",n2
～間,かん,"between, during",n2
～巻,かん,volume,n2
～館,かん," hall,  building",n2
～感,かん,"feeling, sense, impression",n2
～期,き,"age, period",n2
～器,き,"device, equipment",n2
～機,き,machine,n2
～気味,ぎみ,slightly ,n2
～教,きょう,religion,n2
～行,ぎょう,"line, row",n2
～業,ぎょう,type of business,n2
～切れ,きれ,out of ,n2
～口,くち," opening  entrance,  exit",n2
～家,け,"'s family, the house of ",n2
～形,けい,shape of ,n2
～系,けい," system,  lineage,  group",n2
～圏,けん,"bloc, sphere, area",n2
～校,こう,counter for school,n2
～港,こう, port,n2
～号,ごう,counter for magazine the name of ship,n2
～国,こく,nation of ,n2
～毎,ごと,"every , each ",n2
～山,さん,the name of mountain,n2
～産,さん,made in ,n2
～史,し,history of ,n2
～紙,し,"newspaper, type of paper",n2
～寺,じ,the name of temple,n2
～時間目,じかんめ,"th hour, th period",n2
～室,しつ,counter for room,n2
～車,しゃ, car,n2
～者,しゃ,person,n2
～社,しゃ,counter for company,n2
～手,しゅ," player, person who does ",n2
～酒,しゅ,kind of alcohol,n2
～集,しゅう,collection of ,n2
～所,しょ,place,n2
～女,じょ,count for sisters,n2
～省,しょう,kind of ministry,n2
～商,しょう,"merchant, business",n2
～勝,しょう,count for victory,n2
～条,じょう,counter for article,n2
～場,じょう,"kind of field, ground",n2
～畳,じょう,"count for tatami, mat",n2
～色,しょく,kind of color,n2
～過ぎる,すぎる,too much ,n2
～済,ずみ,finished,n2
～席,せき,counter for seats,n2
～船,せん,counter for ships,n2
～戦,せん,"counter for games, matches",n2
～前,ぜん,before ,n2
～沿い,そい,along,n2
～艘,そう,counter for ships,n2
～足,そく,counter for shoes,n2
～団,だん,"group, corps, party",n2
～着,ちゃく,counter for clothes finishing place,n2
～庁,ちょう,"office, agency",n2
～兆,ちょう,trillion,n2
～長,ちょう,"leader, head",n2
～帳,ちょう," book, notebook",n2
～丁目,ちょうめ," district of a town city, block",n2
～通,つう,counter for letters,n2
～遣い,づかい,use of ,n2
～付,つき,with ,n2
～続く,つづく,"follow, continue, go on",n2
～辛い,づらい,hard  do ,n2
～滴,てき,drop,n2
～点,てん,counter for scores,n2
～頭,とう,counter for animals,n2
～等,とう,"level, place",n2
～島,とう,kind of islands,n2
～道,どう,"kind of path, road",n2
～通り,とおり,"in accordance with  following   street,  avenue",n2
～内,ない,inside ,n2
～年生,ねんせい,counter for school year,n2
～泊,はく,"counter for staying , 2 nights",n2
～発,はつ,counter for bullets,n2
～番目,ばんめ,th,n2
～費,ひ,cost of ,n2
～病,びょう,kind of disease,n2
～部,ぶ, part,n2
～風,ふう, style,n2
～振り,ぶり,after an interval of ,n2
～遍,へん,time,n2
～弁,べん,"speech, dialect",n2
～歩,ほ,"step, pace",n2
～向け,むけ,for ,n2
～名,めい,counter for people,n2
～問,もん,counter for questions,n2
～夜,や,counter for nights,n2
～流,りゅう,"fashion, manner, way",n2
～料,りょう,"fare, charge",n2
～領,りょう,territory,n2
～力,りょく,power of ,n2
～論,ろん,theory,n2
～羽,わ,counter for rabbits birds,n2
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still",n2
扇ぐ,あおぐ," fan,  flap",n2
青白い,あおじろい,pale,n2
呆れる,あきれる," be shocked,  be appalled",n2
飽くまで,あくまで," the end,  the last, stubbornly",n2
明くる～,あくる,"next, following",n2
明け方,あけがた,dawn,n2
憧れる,あこがれる," long for,  yearn after",n2
朝寝坊,あさねぼう,"oversleeping, late riser",n2
足跡,あしあと,footprint,n2
足元,あしもと,at one's feet,n2
味わう,あじわう," taste,  savor",n2
預かる,あずかる," keep in custody,  receive on deposit,  take charge of",n2
温まる,あたたまる, warm oneself,n2
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm",n2
厚かましい,あつかましい,"impudent, shameless,",n2
圧縮,あっしゅく,"compression, condensation, pressure",n2
宛名,あてな,"address, direction",n2
当てはまる,あてはまる," be applicable,  come under a category",n2
当てはめる,あてはめる," apply,  adapt",n2
暴れる,あばれる," act violently,  rage",n2
脂,あぶら,"fat, tallow, lard",n2
雨戸,あまど,sliding storm door,n2
甘やかす,あまやかす," pamper,  spoil",n2
余る,あまる," be left over,  be in excess",n2
編み物,あみもの,knitting,n2
編む,あむ, knit,n2
危うい,あやうい,"dangerous, critical",n2
怪しい,あやしい,"suspicious, dubious, doubtful",n2
荒い,あらい,"rough, rude, wild",n2
粗い,あらい,"coarse, rough",n2
粗筋,あらすじ,"outline, synopsis",n2
争う,あらそう," compete,  contest,  contend  quarrel,  argue,  dispute,  be at variance,  oppose",n2
改めて,あらためて,"another time, again",n2
改める,あらためる," change,  reform,  revise",n2
有難い,ありがたい,"grateful, thankful, appreciated",n2
荒れる,あれる," be stormy,  be rough,  be ruined",n2
慌ただしい,あわただしい,"busy, hurried",n2
慌てる,あわてる," become confused disconcerted, disorganized,  be flustered,  panic,  hurry,  rush,  hasten",n2
安易,あんい,easygoing,n2
案外,あんがい,"unexpectedly, surprisingly",n2
言い出す,いいだす," start talking,  suggest",n2
言い付ける,いいつける," tell,  order",n2
意義,いぎ,"meaning, significance",n2
生き生き,いきいき,"vividly, lively",n2
幾～,いく,several ,n2
育児,いくじ,"childcare, nursing",n2
幾分,いくぶん,somewhat,n2
生け花,いけばな,flower arrangement,n2
以後,いご,after this from now on hereafter,n2
以降,いこう,"on and after, hereafter",n2
勇ましい,いさましい,"brave, valiant",n2
衣食住,いしょくじゅう,"food, clothing and shelter",n2
一応,いちおう,"tentatively, for the time being",n2
一段と,いちだんと,"by far, greater",n2
一流,いちりゅう,"first class, leading",n2
一昨日,いっさくじつ,day before yesterday,n2
一昨年,いっさくねん,year before last,n2
一斉,いっせい,"simultaneous, all at once",n2
一旦,いったん,"once, for a moment",n2
一定,いってい,"fixed, settled, regular",n2
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",n2
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",n2
移転,いてん,"moving, transfer",n2
井戸,いど,water well,n2
緯度,いど,latitude navigation,n2
威張る,いばる," be proud,  swagger",n2
嫌がる,いやがる,"reluctant,  dislike",n2
煎る,いる, roast,n2
炒る,いる," parch,  roast",n2
入れ物,いれもの,"container, case",n2
引力,いんりょく,gravity,n2
植木,うえき,"garden shrubs, trees, potted plant",n2
飢える,うえる, starve,n2
浮ぶ,うかぶ," float,  rise  surface,  come  mind",n2
浮かべる,うかべる, float  express,n2
浮く,うく, float,n2
承る,うけたまわる," hear,  be told,  know",n2
受取,うけとり,receipt,n2
受け持つ,うけもつ, take be in charge of,n2
薄暗い,うすぐらい,"dim, gloomy",n2
薄める,うすめる," dilute,  water down",n2
打合せ,うちあわせ,"business meeting, previous arrangement",n2
打ち消す,うちけす," deny,  negate",n2
写る,うつる," be photographed,  be projected",n2
有無,うむ,"existence or nonexistence, presence of absence consent or refusal, yes or no",n2
埋める,うめる," bury,  fill up,  fill a seat, a vacant position",n2
敬う,うやまう," show respect,  honor",n2
裏返す,うらがえす," turn inside out,  turn something over",n2
裏口,うらぐち,"backdoor, rear entrance",n2
占う,うらなう," predict,  divine",n2
恨み,うらみ,resentment,n2
恨む,うらむ," curse,  feel bitter",n2
羨む,うらやむ, envy,n2
売上,うりあげ,"amount sold, proceeds",n2
売り上げ,うりあげ,"amount sold, sales, proceeds, takings, turnover",n2
売り切れ,うりきれ,soldout,n2
売り切れる,うりきれる, be sold out,n2
売行き,うれゆき,sales,n2
売れ行き,うれゆき,"sales, demand",n2
上～,うわ,upper ,n2
運河,うんが,"canal, waterway",n2
英文,えいぶん,sentence in english,n2
英和,えいわ,"englishjapanese , dictionary",n2
液体,えきたい,"liquid, fluid",n2
絵の具,えのぐ,"colors, paints",n2
偉い,えらい,"great, celebrated, remarkable,",n2
宴会,えんかい,"party, banquet",n2
園芸,えんげい,"horticulture, gardening",n2
演劇,えんげき,play theatrical,n2
円周,えんしゅう,circumference,n2
遠足,えんそく,"trip, hike, picnic",n2
延長,えんちょう,"extension, prolongation",n2
煙突,えんとつ,chimney,n2
追いかける,おいかける, chase or run after someone,n2
追い越す,おいこす," pass , car,  outdistance,  outstrip",n2
応援,おうえん,"aid, assistance, help, support, reinforcement cheering, rooting for, support",n2
王女,おうじょ,princess,n2
応ずる,おうずる," respond,  comply with",n2
応接,おうせつ,reception,n2
応対,おうたい,"receiving, dealing with",n2
往復,おうふく,"col round trip, coming and going, return ticket",n2
欧米,おうべい,"europe and america, the west",n2
応用,おうよう,"application, put  practical use",n2
大通り,おおどおり,main street,n2
大凡,おおよそ,"about, approximately",n2
お帰り,おかえり,"return, welcome",n2
拝む,おがむ," worship,  pray",n2
お代わり,おかわり,"second helping, another cup",n2
補う,おぎなう, compensate for,n2
お気の毒に,おきのどくに,i'm sorry  hear that…,n2
屋外,おくがい,outdoors,n2
送り仮名,おくりがな,part of word written in kana,n2
お元気で,おげんきで,take care',n2
怠る,おこたる," neglect,  fail",n2
押さえる,おさえる," pin down,  hold down,  press down,  hold in place,  hold steady  cover esp a part of one's body with one's hand,  clutch a body part in pain,  press a body part  get a hold of,  obtain,  seize,  catch,  arrest",n2
お先に,おさきに,"before, after you",n2
伯父,おじ,uncle older than one's parent,n2
叔父,おじ,uncle younger than one's parent,n2
惜しい,おしい,"regrettable, disappointing",n2
伯父さん,おじさん,"middleaged gentleman, uncle",n2
小父さん,おじさん,"middleaged gentleman, uncle",n2
叔父さん,おじさん,"middleaged gentleman, uncle",n2
お邪魔します,おじゃまします,excuse me for disturbing you,n2
お世話になりました,おせわになりました,i've been in your care,n2
お大事に,おだいじに,"take care of yourself, take care!, get well soon",n2
落着く,おちつく," calm down,  settle down",n2
お出掛け,おでかけ,outing,n2
お手伝いさん,おてつだいさん,maid,n2
脅かす,おどかす," threaten,  coerce",n2
落し物,おとしもの,lost property,n2
驚かす,おどろかす," surprise,  frighten",n2
お願いします,おねがいします,"please lit, i request",n2
各々,おのおの,"each, every, either",n2
伯母,おば,aunt older than one's parent,n2
叔母,おば,aunt younger than one's parent,n2
小母さん,おばさん,"lady, woman, ma'am",n2
お参り,おまいり,"worship, shrine visit",n2
お待たせしました,おまたせしました,sorry  have kept you waiting,n2
お待ちください,おまちください,please wait a moment,n2
思い掛けない,おもいがけない,"unexpected, casual",n2
思い切り,おもいきり,"with all one's strength heart, resignation, resolution",n2
思い込む,おもいこむ," be under impression that,  be convinced that",n2
思いっ切り,おもいっきり,"very, much, fully",n2
思いっきり,おもいっきり, the best of one's ability,n2
重たい,おもたい,"heavy, massive, serious",n2
お休み,おやすみ,"holiday, absence exp good night",n2
親指,おやゆび,thumb,n2
御～,おん,honorific ,n2
恩恵,おんけい,"blessing, benefit",n2
温室,おんしつ,greenhouse,n2
温泉,おんせん,"spa, hot spring",n2
温帯,おんたい,temperate zone,n2
御中,おんちゅう,messrs,n2
女の人,おんなのひと,woman,n2
蚊,か,mosquito,n2
貝,かい,"shell, shellfish",n2
外～,がい,"foreign , outside ",n2
開会,かいかい,opening of a meeting,n2
会館,かいかん,"meeting hall, assembly hall",n2
改札,かいさつ,examination of tickets,n2
解散,かいさん,"breakup, dissolution",n2
海水浴,かいすいよく,"sea bathing, seawater bath",n2
回数,かいすう,"number of times, frequency",n2
回数券,かいすうけん,book of tickets,n2
改正,かいせい,"revision, amendment, alteration",n2
快晴,かいせい,good weather,n2
解説,かいせつ,"explanation, commentary",n2
改造,かいぞう,remodeling,n2
開通,かいつう,"opening, open",n2
回転,かいてん,"rotation, turning",n2
解答,かいとう,"answer, solution",n2
回答,かいとう,"reply, answer",n2
