expression,reading,meaning,tags
外部,がいぶ,"the outside, external",n2
解放,かいほう,"release, liberation, emancipation",n2
開放,かいほう,"open, throw open, liberalization",n2
海洋,かいよう,ocean,n2
概論,がいろん,"introduction, general remark",n2
却って,かえって,"on the contrary, rather",n2
家屋,かおく,"house, building",n2
係わる,かかわる," concern oneself in,  be involved in",n2
書留,かきとめ,registered mail,n2
書取,かきとり,dictation,n2
垣根,かきね,hedge,n2
限り,かぎり,"limits, as far as possible",n2
各～,かく,"every , each ",n2
架空,かくう,"imaginary, fiction, fanciful",n2
各自,かくじ,"individual, each",n2
拡充,かくじゅう,expansion,n2
学術,がくじゅつ,"science, learning, scholarship",n2
各地,かくち,various parts of the country,n2
拡張,かくちょう,"expansion, extension",n2
角度,かくど,angle,n2
学年,がくねん,"year in school, grade in school",n2
学部,がくぶ,"department of a university undergraduate course, program, etc",n2
格別,かくべつ,exceptional,n2
確率,かくりつ,probability,n2
学力,がくりょく,"scholarship, knowledge",n2
掛け算,かけざん,multiplication,n2
可決,かけつ,"approval, adoption , motion, bill, passage",n2
火口,かこう,crater of a volcano,n2
下降,かこう,"decline, descent, fall",n2
重ねる,かさねる," pile up,  heap up,  stack up,  put on top of another  repeat many times over,  go through repeatedly,  accumulate",n2
飾り,かざり,"decoration, ornament, trimmings",n2
火山,かざん,volcano,n2
貸し出し,かしだし,"lending, loaning",n2
過失,かしつ,"error, mistake, negligence",n2
果実,かじつ,fruit,n2
貸間,かしま,room  let,n2
貸家,かしや,house for rent,n2
箇所,かしょ,"place, point, part",n2
過剰,かじょう,"excess, over",n2
課税,かぜい,taxation,n2
下線,かせん,"underline, underscore",n2
加速,かそく,acceleration,n2
加速度,かそくど,acceleration,n2
塊,かたまり,"lump, mass, cluster",n2
固まる,かたまる," harden,  solidify,  become firm",n2
片道,かたみち,oneway trip,n2
傾く,かたむく," incline toward,  slant,  lurch",n2
片寄る,かたよる," be onesided,  incline,  be partial",n2
学科,がっか,"study subject, course of study",n2
学会,がっかい,academic conference,n2
楽器,がっき,musical instrument,n2
学級,がっきゅう,class,n2
担ぐ,かつぐ," shoulder,  carry on shoulder",n2
括弧,かっこ,"parenthesis, brackets",n2
活字,かつじ,printing type,n2
勝手に,かってに,"arbitrarily,",n2
活躍,かつやく,"activity esp energetic or successful, great efforts, active participation",n2
活力,かつりょく,"vitality, energy",n2
課程,かてい,"course, curriculum",n2
仮名,かな,kana,n2
仮名遣い,かなづかい,"kana orthography, syllabary spelling",n2
鐘,かね,"bell often a large hanging bell, chime",n2
加熱,かねつ,heating,n2
兼ねる,かねる, simultaneously serve two or more functions,n2
過半数,かはんすう,majority,n2
被せる,かぶせる, cover with something,n2
釜,かま,"iron pot, kettle",n2
構いません,かまいません,it's all right one doesn’t mind,n2
紙屑,かみくず,wastepaper,n2
神様,かみさま,god,n2
剃刀,かみそり,razor,n2
貨物,かもつ,"cargo, freight",n2
歌謡,かよう,"song, ballad",n2
殻,から,"shell, husk, hull, pod, chaff",n2
空っぽ,からっぽ,"empty, vacant, hollow",n2
枯れる,かれる," wither,  die plant,  be blasted plant",n2
可愛がる,かわいがる," love,  be affectionate",n2
乾かす,かわかす," dry clothes, etc,  desiccate",n2
為替,かわせ,"money order, exchange",n2
瓦,かわら,roof tile,n2
間隔,かんかく,"space, interval space character, whitespace",n2
換気,かんき,ventilation,n2
感激,かんげき,"deep emotion, impression, inspiration",n2
関西,かんさい,"southwestern half of japan, including osaka",n2
元日,がんじつ,new year's day,n2
鑑賞,かんしょう,appreciation,n2
感ずる,かんずる," feel,  sense",n2
間接,かんせつ,"indirect, indirectness",n2
乾燥,かんそう,"dry, arid, insipid, dehydrated",n2
感想,かんそう,"impressions, thoughts, feelings, reactions",n2
観測,かんそく,observation,n2
寒帯,かんたい,frigid zone,n2
勘違い,かんちがい,"misunderstanding, wrong guess",n2
官庁,かんちょう,"government office, authorities",n2
缶詰,かんづめ,"canning, canned goods,",n2
乾電池,かんでんち,"dry cell, battery",n2
関東,かんとう,"eastern half of japan, including tokyo",n2
観念,かんねん,"idea, notion sense",n2
乾杯,かんぱい,cheers! a toast,n2
看板,かんばん,"sign, signboard",n2
看病,かんびょう,nursing a patient,n2
冠,かんむり,"crown, wreath",n2
漢和,かんわ,"chinese characterjapanese , dictionary",n2
気圧,きあつ,atmospheric pressure,n2
着替え,きがえ,"changing clothes, change of clothes",n2
着替える,きがえる, change one's clothes,n2
機関車,きかんしゃ,"locomotive, engine",n2
飢饉,ききん,famine,n2
器具,きぐ,instrument,n2
期限,きげん,"term, period, time frame time limit, deadline, cutoff date",n2
記号,きごう,"symbol, code",n2
刻む,きざむ," mince,  carve,  engrave",n2
儀式,ぎしき,"ceremony, rite, ritual",n2
基準,きじゅん,"standard, basis, criteria",n2
規準,きじゅん,"standard, basis, criteria",n2
起床,きしょう,"rising, getting out of bed",n2
着せる,きせる, put on clothes,n2
基礎,きそ,"foundation, basis",n2
基地,きち,base,n2
切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occassion",n2
基盤,きばん,"foundation, basis",n2
客席,きゃくせき,guest seating,n2
客間,きゃくま,"parlor, guest room",n2
休業,きゅうぎょう,"closure, shutdown, holiday",n2
休講,きゅうこう,lecture canceled,n2
休息,きゅうそく,"rest, relief, relaxation",n2
給与,きゅうよ,salary,n2
休養,きゅうよう,"rest, break, recreation",n2
清い,きよい,"clear, pure, noble",n2
強化,きょうか,"strengthen, intensify, reinforce",n2
境界,きょうかい,boundary,n2
共産～,きょうさん,communist ,n2
行事,ぎょうじ,"event, function",n2
恐縮,きょうしゅく,sorry  trouble,n2
教養,きょうよう,"culture, education, sophistication",n2
行列,ぎょうれつ,"line, procession matrix math",n2
漁業,ぎょぎょう,fishing industry,n2
曲線,きょくせん,curve,n2
規律,きりつ,"order, rules, law",n2
斬る,きる," behead,  murder",n2
気を付ける,きをつける," be careful,  pay attention,  take care",n2
琴,きん,13string japanese zither,n2
金魚,きんぎょ,goldfish,n2
区域,くいき,"zone, district, area",n2
空～,くう,empty ,n2
偶数,ぐうすう,even number,n2
空想,くうそう,"daydream, fantasy",n2
空中,くうちゅう,"sky, air",n2
釘,くぎ,nail,n2
区切る,くぎる," punctuate,  cut off,  mark off",n2
櫛,くし,comb,n2
苦情,くじょう,"complaint, grievance, grumble",n2
苦心,くしん,"pain, trouble",n2
屑,くず,"waste, scrap",n2
崩す,くずす," destroy,  make change money",n2
薬指,くすりゆび,ring finger,n2
崩れる,くずれる," collapse,  crumble",n2
砕く,くだく," break,  smash",n2
砕ける,くだける," break,  be broken",n2
下る,くだる," descend,  go down,  come down",n2
唇,くちびる,lip,n2
口紅,くちべに,lipstick,n2
句読点,くとうてん,punctuation marks,n2
配る,くばる," distribute,  deliver",n2
工夫,くふう,"device, artifice, ingenuity",n2
区分,くぶん,"division, section, classification",n2
組合せ,くみあわせ,combination,n2
組み立てる,くみたてる," assemble,  set up,  construct",n2
悔やむ,くやむ," regret,  mourn",n2
郡,ぐん,"district, county",n2
稽古,けいこ,"practice, training, study",n2
敬語,けいご,"honorific language lit, respect language",n2
蛍光灯,けいこうとう,fluorescent lamp,n2
形式,けいしき,"form, formality, format",n2
継続,けいぞく,continuation,n2
毛糸,けいと,knitting wool,n2
経度,けいど,longitude,n2
系統,けいとう,"system, genealogy",n2
芸能,げいのう,"public entertainment, performing arts",n2
競馬,けいば,horse racing,n2
警備,けいび,"defense, guard, policing, security",n2
形容詞,けいようし,adjective,n2
形容動詞,けいようどうし,"adjectival noun, quasiadjective",n2
外科,げか,surgical department,n2
毛皮,けがわ,"fur, skin, pelt",n2
激増,げきぞう,sudden increase,n2
下車,げしゃ,"alighting, getting off",n2
下旬,げじゅん,month last third of,n2
下水,げすい,"drainage, sewage, ditch, gutter, sewerage",n2
削る,けずる," cut down little by little,  take a percentage",n2
桁,けた,"column, beam, digit",n2
下駄,げた,"japanese footwear, wooden clogs",n2
血圧,けつあつ,blood pressure,n2
月給,げっきゅう,monthly salary,n2
傑作,けっさく,"masterpiece, best work",n2
月末,げつまつ,end of the month,n2
気配,けはい,"indication, sign, hint",n2
下品,げひん,"vulgar, indecent, coarse",n2
下品(な),げひんな,vulgar,n2
煙い,けむい,smoky,n2
険しい,けわしい,"steep, rugged severe",n2
現～,げん,"present, incumbent",n2
見学,けんがく,"tour, study by observation",n2
謙虚,けんきょ,"modesty, humble",n2
原稿,げんこう,"manuscript, copy",n2
原産,げんさん,place of origin,n2
原始,げんし,"origin, primeval",n2
研修,けんしゅう,training,n2
厳重,げんじゅう,"strict, severe, firm",n2
謙遜,けんそん,"humble, humility, modesty",n2
県庁,けんちょう,prefectural office,n2
限度,げんど,"limit, bounds",n2
現に,げんに,"actually, really",n2
顕微鏡,けんびきょう,microscope,n2
懸命,けんめい,"eagerness, strenuous",n2
原理,げんり,"principle, theory, fundamental truth",n2
原料,げんりょう,raw materials,n2
碁,ご,go board game,n2
小～,こ,small ,n2
恋しい,こいしい,"dear, beloved  miss",n2
高～,こう,high level ,n2
工員,こういん,factory worker,n2
強引,ごういん,"forcible, assertive, pushy",n2
公害,こうがい,"public nuisance, pollution",n2
高級,こうきゅう,high class firstrate,n2
公共,こうきょう,"public, community, communal",n2
工芸,こうげい,industrial arts,n2
孝行,こうこう,filial piety,n2
交差,こうさ,cross,n2
講師,こうし,lecturer,n2
工事,こうじ,construction work,n2
公式,こうしき,"formula, formality, official",n2
口実,こうじつ,excuse,n2
校舎,こうしゃ,"school building, schoolhouse",n2
公衆,こうしゅう,the public,n2
香水,こうすい,perfume,n2
公正,こうせい,"justice, fairness, impartiality",n2
功績,こうせき,"achievements, merit",n2
光線,こうせん,"beam, light ray",n2
高層,こうそう,"tall, high rise",n2
構造,こうぞう,"structure, construction",n2
交替,こうたい,"change, relief, alteration",n2
交代,こうたい,"alternation, change, relief, relay, shift, substitution sports, etc, taking turns",n2
耕地,こうち,arable land,n2
交通機関,こうつうきかん,transportation facilities,n2
校庭,こうてい,school yard,n2
肯定,こうてい,"positive, affirmation",n2
高度,こうど,"altitude, height advanced",n2
高等,こうとう,"high class, high grade",n2
合同,ごうどう,"combination, incorporation",n2
高等学校,こうとうがっこう,senior high school,n2
公表,こうひょう,"official announcement, proclamation",n2
鉱物,こうぶつ,mineral,n2
公務,こうむ,"official business, public business",n2
項目,こうもく,item,n2
紅葉,こうよう,fall colors of leaves,n2
合理,ごうり,rational,n2
交流,こうりゅう,exchange alternating current,n2
合流,ごうりゅう,"confluence, merge, join",n2
効力,こうりょく,"effect, efficacy",n2
焦がす,こがす," burn,  scorch",n2
国王,こくおう,king,n2
国立,こくりつ,national,n2
ご苦労様,ごくろうさま,thank you for your hard work,n2
焦げる,こげる," burn,  be burned",n2
凍える,こごえる," freeze,  be chilled,  be frozen",n2
心当たり,こころあたり,"having some knowledge of, happening  know",n2
心得る,こころえる," understand,  have thorough knowledge",n2
腰掛け,こしかけ,"seat, bench",n2
腰掛,こしかけ,"seat, bench",n2
腰掛ける,こしかける, sit down,n2
五十音,ごじゅうおん,the japanese syllabary,n2
擦る,こする," rub,  chafe,  file,  frost glass,  strike match",n2
個体,こたい,an individual,n2
小遣い,こづかい,"pocket money, allowance",n2
古典,こてん,"classics, classic",n2
言付ける,ことづける, leave a message,n2
言葉遣い,ことばづかい,"speech, expression, wording",n2
御無沙汰,ごぶさた,not writing or contacting for a while,n2
御免,ごめん,"declining something pardon, sorry",n2
小指,こゆび,little finger,n2
堪える,こらえる," bear,  endure,  put up with",n2
娯楽,ごらく,"pleasure, amusement, recreation",n2
御覧,ごらん,"hon look, inspection, try",n2
転がす,ころがす, roll,n2
転がる,ころがる," roll,  tumble",n2
紺,こん,"navy blue, deep blue",n2
今～,こん,"this, current",n2
混合,こんごう,"mixing, mixture",n2
献立,こんだて,menu,n2
再～,さい,re ,n2
最～,さい,the most ,n2
在学,ざいがく,enrolled in school,n2
再三,さいさん,"again and again, repeatedly",n2
祭日,さいじつ,"national holiday, festival day",n2
催促,さいそく,"demand, urge action, press for",n2
採点,さいてん,"marking, grading",n2
災難,さいなん,"calamity, misfortune",n2
裁縫,さいほう,sewing,n2
材木,ざいもく,"lumber, timber",n2
逆さ,さかさ,"reverse, upside down",n2
逆様,さかさま,"reverse, upside down",n2
捜す,さがす," search,  seek,  look for",n2
遡る,さかのぼる," go back,  date back ascend",n2
酒場,さかば,"bar, barroom",n2
一昨昨日,さきおととい,"two days before yesterday, three days ago",n2
先程,さきほど,a little while ago,n2
索引,さくいん,"index, indices",n2
作者,さくしゃ,"author, artist",n2
削除,さくじょ,"elimination, deletion",n2
作成,さくせい,"creation, preparation,  make",n2
作製,さくせい,"manufacture, production",n2
探る,さぐる," search,  look for, investigate",n2
囁く,ささやく," whisper,  murmur",n2
刺さる,ささる," stick,  be stuck",n2
匙,さじ,spoon,n2
座敷,ざしき,tatami room,n2
差し支え,さしつかえ,"hindrance, impediment",n2
差し引き,さしひき,"deduction, balance",n2
刺身,さしみ,sliced raw fish,n2
刺す,さす," pierce,  stab,  prick,  thrust",n2
流石,さすが,"indeed, truly, as one would expect",n2
撮影,さつえい,photographing,n2
雑音,ざつおん,"noise jarring, grating",n2
早速,さっそく,"at once, immediately, promptly",n2
錆,さび,rust color,n2
錆びる,さびる," rust,  become rusty",n2
座布団,ざぶとん,cushion japanese,n2
妨げる,さまたげる," disturb,  prevent",n2
騒がしい,さわがしい,noisy,n2
三角,さんかく,"triangle, triangular",n2
算数,さんすう,arithmetic,n2
酸性,さんせい,acidity acidic,n2
産地,さんち,producing area,n2
山林,さんりん,mountain forest,n2
仕上がる,しあがる, be finished,n2
明明後日,しあさって,two days after tomorrow,n2
寺院,じいん,temple,n2
自衛,じえい,selfdefense,n2
塩辛,しおから,salty taste,n2
塩辛い,しおからい,salty taste,n2
司会,しかい,"host, chairperson",n2
四角い,しかくい,square,n2
仕方がない,しかたがない,"it can't be helped, it's inevitable",n2
時間割,じかんわり,"timetable, schedule",n2
四季,しき,four seasons,n2
敷地,しきち,site,n2
敷く,しく," spread out,  lay out",n2
茂る,しげる, grow thick,n2
持参,じさん,"bringing, taking, carrying",n2
磁石,じしゃく,magnet,n2
四捨五入,ししゃごにゅう,rounding up fractions,n2
始終,しじゅう,"continuously, always, constantly",n2
自習,じしゅう,selfstudy,n2
静まる,しずまる," quieten down,  calm down",n2
姿勢,しせい,attitude posture,n2
自然科学,しぜんかがく,natural science,n2
時速,じそく,speed per hour,n2
子孫,しそん,"descendant, offspring",n2
死体,したい,corpse,n2
下書き,したがき,"rough copy, draft",n2
自宅,じたく,one's own home same as  ,n2
下町,したまち,old parts of town,n2
自治,じち,"selfgovernment, autonomy",n2
室～,しつ,room,n2
実感,じっかん,"feelings, realization",n2
湿気,しっき,"moisture, humidity, dampness",n2
実習,じっしゅう,"practice, training",n2
実績,じっせき,"achievements, actual results",n2
湿度,しつど,level of humidity,n2
執筆,しっぴつ,writing,n2
実物,じつぶつ,an actual thing,n2
実用,じつよう,"practical use, utility",n2
実力,じつりょく,"real ability, true strength, merit, efficiency, competency",n2
実例,じつれい,"example, instance",n2
失恋,しつれん,"broken heart, unrequited love",n2
指定,してい,"designation, specification, assignment",n2
私鉄,してつ,private railway,n2
児童,じどう,"children, juvenile",n2
縛る,しばる," tie,  bind",n2
地盤,じばん,the ground,n2
紙幣,しへい,"paper money, notes, bills",n2
萎む,しぼむ," wither of flowers, dreams, etc,  wilt",n2
絞る,しぼる," press,  wring,  squeeze",n2
縞,しま,stripe,n2
地味,じみ,"plain, simple, subdued, sober",n2
氏名,しめい,full name,n2
締切,しめきり,deadline,n2
締め切り,しめきり,"deadline, closing, cutoff, end",n2
締め切る,しめきる," close, cancel",n2
地面,じめん,"ground, earth's surface",n2
社会科学,しゃかいかがく,social science,n2
蛇口,じゃぐち,"faucet, tap",n2
